iter	Passed	Remaining
982	6846	118
983	6853	111
984	6860	104
985	6867	97
986	6873	90
987	6880	83
988	6887	76
989	6894	69
990	6901	62
991	6908	55
992	6915	48
993	6922	41
994	6929	34
995	6936	27
996	6944	20
997	6951	13
998	6957	6
999	6964	0
